"ID","date","endVZA","filename","ring","GF0_360","lens","circ","channel","stretch","gamma","zonal","thd","method","lat","lon"
"LT44","20240920",80,"LT44_20240920.jpg",40,0.0895785824039804,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","91","Otsu",NA,NA
"LT44","20240920",90,"LT44_20240920.jpg",45,0.0769290527758311,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","91","Otsu",NA,NA
"LT51","20240920",10,"LT51_20240920.jpg",5,0.112812027231467,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","93","Otsu",NA,NA
"LT51","20240920",20,"LT51_20240920.jpg",10,0.149708304735758,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","93","Otsu",NA,NA
"LT51","20240920",30,"LT51_20240920.jpg",15,0.158121701133512,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","93","Otsu",NA,NA
"LT51","20240920",40,"LT51_20240920.jpg",20,0.15768953709702,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","93","Otsu",NA,NA
"LT51","20240920",50,"LT51_20240920.jpg",25,0.148080180454916,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","93","Otsu",NA,NA
"LT51","20240920",60,"LT51_20240920.jpg",30,0.136143693690983,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","93","Otsu",NA,NA
"LT51","20240920",70,"LT51_20240920.jpg",35,0.118641372275374,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","93","Otsu",NA,NA
"LT51","20240920",80,"LT51_20240920.jpg",40,0.105016943287623,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","93","Otsu",NA,NA
"LT51","20240920",90,"LT51_20240920.jpg",45,0.0920623998044521,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","93","Otsu",NA,NA
"LT52","20240920",10,"LT52_20240920.jpg",5,0.333850226928896,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","94","Otsu",NA,NA
"LT52","20240920",20,"LT52_20240920.jpg",10,0.183901471821856,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","94","Otsu",NA,NA
"LT52","20240920",30,"LT52_20240920.jpg",15,0.170033313143549,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","94","Otsu",NA,NA
"LT52","20240920",40,"LT52_20240920.jpg",20,0.174484058398761,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","94","Otsu",NA,NA
"LT52","20240920",50,"LT52_20240920.jpg",25,0.165478467392818,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","94","Otsu",NA,NA
"LT52","20240920",60,"LT52_20240920.jpg",30,0.154461389392088,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","94","Otsu",NA,NA
"LT52","20240920",70,"LT52_20240920.jpg",35,0.141762742009913,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","94","Otsu",NA,NA
"LT52","20240920",80,"LT52_20240920.jpg",40,0.124503248416188,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","94","Otsu",NA,NA
"LT52","20240920",90,"LT52_20240920.jpg",45,0.111809942778835,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","94","Otsu",NA,NA
"LT53","20240920",10,"LT53_20240920.jpg",5,0.144799546142209,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT53","20240920",20,"LT53_20240920.jpg",10,0.158785651643407,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT53","20240920",30,"LT53_20240920.jpg",15,0.117344466557065,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT53","20240920",40,"LT53_20240920.jpg",20,0.107165278899858,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
"LT53","20240920",50,"LT53_20240920.jpg",25,0.110835664706545,"Sigma-4.5","2592_1478_1476","3","FALSE","2.2","FALSE","85","Otsu",NA,NA
